cluster_id	cluster_size	sample	background	enrichment_pvalue_zbinom	enrichment_fdr_zbinom	log_fold_change	vdjdb	method	log10_pval	significant	label
28	8	4	4	0.9338072535904758	0.9533072890071262	-0.0180338856464095	False	dbscan	0.029742756850370724	False	no
29	19	9	10	0.6591697347847902	0.7535649996708401	-0.0637913762022592	False	dbscan	0.18100274104739583	False	no
30	21	10	11	0.6649740439550436	0.7598196111429529	-0.0594265708006865	False	dbscan	0.17719530619112792	False	no
31	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
32	24	11	13	0.4882789636392792	0.6198088585013867	-0.0905845527889472	False	dbscan	0.3113319857890842	False	no
33	7	5	2	0.0434862549921151	0.2792761137664801	0.3799061228953397	False	dbscan	1.3616479908827834	False	no
34	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
35	5	4	1	0.0037695179546672	0.0331267271507466	0.5840261053558319	False	dbscan	2.4237141722287663	True	sign
36	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
37	83	45	38	0.39184023168223	0.577852023925714	0.0553950315103461	True	dbscan	0.40689097532442003	False	vdjdb
38	142	88	54	2.368191942769826e-05	0.0002903581572842	0.1940550266776833	False	dbscan	4.625581266944399	True	sign
39	39	23	16	0.1216278002856221	0.4719889935644265	0.1395739677069975	False	dbscan	0.9149671473153957	False	no
40	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
41	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
42	5	3	2	0.526178447734569	0.6198088585013867	0.1580573733368892	False	dbscan	0.27886694450232785	False	no
43	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
44	10	5	5	0.92601536483045	0.9533072890071262	-0.0180338856464095	False	dbscan	0.03338180721747301	False	no
45	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
46	6	5	1	0.0001060634727438	0.0011934757381205	0.6809361183421736	False	dbscan	3.9744337477927516	True	sign
47	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
48	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
49	33	22	11	0.0018657671035053	0.0196833394581836	0.282996109997831	False	dbscan	2.72914254523056	True	sign
50	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
51	5	3	2	0.526178447734569	0.6198088585013867	0.1580573733368892	False	dbscan	0.27886694450232785	False	no
52	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
53	13	9	4	0.0180012741380604	0.1456602211892847	0.3341486324046341	False	dbscan	1.7446967518427212	False	no
54	16	3	13	0.0041528691157513	0.0364488185444676	-0.6548559831222264	False	dbscan	2.3816517456952964	False	no
55	8	7	1	5.372891909161126e-09	7.068969230101125e-08	0.8270641539955949	False	dbscan	8.261783129185913	True	sign
56	4	1	3	0.2290119592431887	0.577852023925714	-0.4951551400765424	False	dbscan	0.6401418375678163	False	no
57	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
58	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
59	7	6	1	1.1993915949304323e-06	1.5014890387404488e-05	0.760117364375322	False	dbscan	5.921002790870909	True	sign
60	15	6	9	0.2695701110036128	0.577852023925714	-0.1941251446779633	False	dbscan	0.5693282623680348	False	no
61	8	5	3	0.289576325374332	0.577852023925714	0.2038148639120408	False	dbscan	0.5382369470886423	False	no
62	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
63	4	4	0	0.0	0.0	9.584026105790128	False	dbscan	10.0	True	sign
64	9	6	3	0.1042603218498039	0.4266130334542067	0.2829961099451892	False	dbscan	0.9818809383308547	False	no
65	17	13	4	1.5287126380769678e-05	0.0001875997760251	0.4938494752572985	False	dbscan	4.81567130312886	True	sign
66	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
67	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
68	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
69	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
70	72	47	25	4.093401302784905e-05	0.0005000893752321	0.2561239636091388	False	dbscan	4.38791461559039	True	sign
71	27	18	9	0.0048956581007661	0.0426942573567774	0.2829961099934441	False	dbscan	2.31018891085901	True	sign
72	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
73	24	14	10	0.2680265572184526	0.577852023925714	0.12809415001942	False	dbscan	0.5718221719210879	False	no
74	7	5	2	0.0434862549921151	0.2792761137664801	0.3799061228953397	False	dbscan	1.3616479908827834	False	no
75	11	4	7	0.2222823985735378	0.577852023925714	-0.2610719342861725	False	dbscan	0.6530949253423871	False	no
76	6	2	4	0.2880020693630418	0.577852023925714	-0.3190638812018171	False	dbscan	0.5406043915701076	False	no
77	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
78	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
79	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
80	105	64	41	0.0011438130832852	0.0121701356287653	0.1753622316139355	False	dbscan	2.9416449021983158	True	sign
81	6	2	4	0.2880020693630418	0.577852023925714	-0.3190638812018171	False	dbscan	0.5406043915701076	False	no
82	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
83	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
84	18	13	5	0.0006463811108199	0.0071268595804586	0.3969394622709568	False	dbscan	3.1895112762369275	True	sign
85	5	5	0	0.0	0.0	9.680936118776469	False	dbscan	10.0	True	sign
86	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
87	5	2	3	0.5238525698618455	0.6198088585013867	-0.1941251446297084	False	dbscan	0.2807909211480187	False	no
88	14	7	7	0.9125101067104766	0.9533072890071262	-0.0180338856464095	False	dbscan	0.039762316671255585	False	no
89	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
90	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
91	11	5	6	0.6159584649333734	0.7124785450866524	-0.0972151316795579	False	dbscan	0.21044857195079564	False	no
92	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
93	20	13	7	0.0347427511810953	0.2693399798362199	0.2508114266175355	True	dbscan	1.4591357927143136	False	vdjdb
94	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
95	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
96	4	1	3	0.2290119592431887	0.577852023925714	-0.4951551400765424	False	dbscan	0.6401418375678163	False	no
97	8	6	2	0.0066961620406427	0.0559704246805829	0.4590873689284881	False	dbscan	2.1741740388956394	False	no
98	9	6	3	0.1042603218498039	0.4266130334542067	0.2829961099451892	False	dbscan	0.9818809383308547	False	no
99	5	4	1	0.0037695179546672	0.0331267271507466	0.5840261053558319	False	dbscan	2.4237141722287663	True	sign
100	131	58	73	0.0380199426976972	0.2792761137664801	-0.1179287522023896	False	dbscan	1.4199885408809687	False	no
101	27	15	12	0.4811896679143577	0.6137893377526015	0.0788761273544085	False	dbscan	0.3176837062958762	False	no
102	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
103	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
104	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	False	dbscan	0.7335393174087805	False	no
105	6	1	5	0.0650415791213188	0.3188691963873182	-0.7170038896349927	False	dbscan	1.1868089225373255	False	no
106	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
107	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
108	5	2	3	0.5238525698618455	0.6198088585013867	-0.1941251446297084	False	dbscan	0.2807909211480187	False	no
109	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
110	40	19	21	0.5367102400384038	0.6315079726928782	-0.0614995794253229	False	dbscan	0.2702601185322732	False	no
111	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
112	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
113	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
114	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
115	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
116	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
117	3	3	0	0.0	0.0	9.459087369218018	False	dbscan	10.0	True	sign
118	162	102	60	6.048734062513716e-07	7.822762587653609e-06	0.2124150357288839	False	dbscan	6.218263715879975	True	sign
119	3	3	0	0.0	0.0	9.459087369218018	False	dbscan	10.0	True	sign
120	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
121	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
122	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
123	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
124	9	7	2	0.0006636588701538	0.0072127437016005	0.5260341585487609	False	dbscan	3.178055031215281	True	sign
125	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
126	7	3	4	0.5667901285051478	0.6599769660740309	-0.1429726222185183	False	dbscan	0.24657772216777668	False	no
127	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
128	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
129	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
130	9	6	3	0.1042603218498039	0.4266130334542067	0.2829961099451892	False	dbscan	0.9818809383308547	False	no
131	10	5	5	0.92601536483045	0.9533072890071262	-0.0180338856464095	False	dbscan	0.03338180721747301	False	no
132	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
133	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
134	27	14	13	0.9029589241315928	0.9533072890071262	0.0141507977226054	False	dbscan	0.04433200537342914	False	no
135	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
136	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
137	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
138	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
139	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
140	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
141	5	4	1	0.0037695179546672	0.0331267271507466	0.5840261053558319	False	dbscan	2.4237141722287663	True	sign
142	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
143	15	8	7	0.7946093479287739	0.8976009004961127	0.0399580613235218	False	dbscan	0.09984633007673858	False	no
144	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
145	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
146	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
147	7	4	3	0.6216157912186258	0.7124785450866524	0.1069048509256991	False	dbscan	0.206477961395961	False	no
148	5	5	0	0.0	0.0	9.680936118776469	False	dbscan	10.0	True	sign
149	87	44	43	0.9021393505952104	0.9533072890071262	-0.0080496647400382	False	dbscan	0.044726373141397324	False	no
150	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
151	231	158	73	0.0	0.0	0.3173003411843565	False	dbscan	10.0	True	sign
152	7	6	1	1.1993915949304323e-06	1.5014890387404488e-05	0.760117364375322	False	dbscan	5.921002790870909	True	sign
153	12	7	5	0.4335113133645636	0.577852023925714	0.1280941500070116	False	dbscan	0.3629995641367495	False	no
154	11	8	3	0.0058598731966055	0.050396382746168	0.4079348465353936	False	dbscan	2.2321117742856575	False	no
155	6	4	2	0.184697357672078	0.577852023925714	0.282996109908998	True	dbscan	0.7335393174087805	False	vdjdb
156	349	225	124	0.0	0.0	0.2407269473011456	False	dbscan	10.0	True	sign
157	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
158	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
159	9	5	4	0.6842475661873912	0.777685808467653	0.0788761273399321	False	dbscan	0.16478673860155987	False	no
160	9	4	5	0.5954967350880871	0.6908751760395367	-0.1149438986327512	False	dbscan	0.22512061519494847	False	no
161	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
162	3	3	0	0.0	0.0	9.459087369218018	False	dbscan	10.0	True	sign
163	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
164	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
165	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
166	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
167	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
168	37	17	20	0.3993488005195249	0.577852023925714	-0.0886149599282848	False	dbscan	0.3986476155638103	False	no
169	8	7	1	5.372891909161126e-09	7.068969230101125e-08	0.8270641539955949	False	dbscan	8.261783129185913	True	sign
170	22	15	7	0.0043479320042183	0.0379902641211491	0.3129593333619258	False	dbscan	2.361717246322993	True	sign
171	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
172	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
173	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
174	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
175	27	17	10	0.0416675166957738	0.2792761137664801	0.2124150357139816	False	dbscan	1.380202380848877	False	no
176	4	4	0	0.0	0.0	9.584026105790128	False	dbscan	10.0	True	sign
177	5	4	1	0.0037695179546672	0.0331267271507466	0.5840261053558319	False	dbscan	2.4237141722287663	True	sign
178	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
179	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
180	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
181	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
182	8	3	5	0.3325872281722084	0.577852023925714	-0.23988263520486	False	dbscan	0.478094432198287	False	no
183	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
184	4	2	2	0.9531679471538768	0.9533072890071262	-0.0180338856464095	False	dbscan	0.020830570359175883	False	no
185	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
186	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
187	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
188	18	16	2	0.0	0.0	0.8850561011555301	False	dbscan	10.0	True	sign
189	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
190	5	2	3	0.5238525698618455	0.6198088585013867	-0.1941251446297084	False	dbscan	0.2807909211480187	False	no
191	4	3	1	0.0551898422586101	0.2792761137664801	0.4590873687837232	False	dbscan	1.2581408464290929	False	no
192	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
193	29	14	15	0.6790641420612018	0.775336670212235	-0.0479971090217846	False	dbscan	0.16808920175630954	False	no
194	21	10	11	0.6649740439550436	0.7598196111429529	-0.0594265708006865	False	dbscan	0.17719530619112792	False	no
195	3	2	1	0.3482826792732019	0.577852023925714	0.2829961098004243	False	dbscan	0.45806812312914513	False	no
196	6	3	3	0.9426590447322928	0.9533072890071262	-0.0180338856464095	False	dbscan	0.025645361052359813	False	no
197	10	5	5	0.92601536483045	0.9533072890071262	-0.0180338856464095	False	dbscan	0.03338180721747301	False	no
198	16	9	7	0.5283461221432175	0.6218269386965117	0.0911105837648713	False	dbscan	0.27708147570071034	False	no
199	3	1	2	0.4524670455558064	0.577852023925714	-0.3190638810932435	False	dbscan	0.34441304609637197	False	no
200	8	3	5	0.3325872281722084	0.577852023925714	-0.23988263520486	False	dbscan	0.478094432198287	False	no
