sample_x	P1_15_F1	P2_15_F1	Q1_15_F1	Q2_15_F1	S1_15_F1	S2_15_F1
P1_15_F1	1.0	0.11580074056931267	0.04612808249119288	0.07935405898840289	0.06406695980868626	0.08939545887011752
P2_15_F1	0.10705956708092876	1.0	0.0468577074553378	0.08031330468549476	0.0655588398453348	0.09132809502913082
Q1_15_F1	0.10803458213256484	0.1177521613832853	1.0	0.09596541786743516	0.0740864553314121	0.10327377521613833
Q2_15_F1	0.10333887220748428	0.11235168935661603	0.05337239697208213	1.0	0.07042629896316163	0.09740158781058994
S1_15_F1	0.11418410281363597	0.12466010247016057	0.05753212926124166	0.09708904599708046	1.0	0.12292841400234708
S2_15_F1	0.09805121446055357	0.10813913068667352	0.04815839404429124	0.08258621438813493	0.07636907434497342	1.0
